,cell,uniq_frags,frip,frac_open,mapping_rate,sequencing_depth,dup_level,mt_content,library_size,plate,celltype,TREATMENT
637,Immunodeficiency7828295,27751.0,0.817245,0.21880300000000003,95.51,251708,0.8722979999999999,0.006729000000000001,27952,,USM B-cells,CONTROL
638,Immunodeficiency7828296,9889.0,0.655315,0.088094,90.76,53969,0.769578,0.026673000000000002,10318,,SM B-cells,CVID
639,Immunodeficiency7828297,44139.0,0.749371,0.294155,95.38,459788,0.887502,0.033671,45685,,USM B-cells,CONTROL
640,Immunodeficiency7828298,44648.0,0.7521770000000001,0.290761,96.31,359975,0.8588790000000001,0.02302,45745,,Naive B-cells,CVID
641,Immunodeficiency7828299,36410.0,0.785628,0.265826,96.56,304603,0.864151,0.019312,37154,,USM B-cells,CVID
642,Immunodeficiency7828300,34246.0,0.7842180000000001,0.24449400000000002,95.9,255457,0.847989,0.011945,34716,,Naive B-cells,CVID
643,Immunodeficiency7828301,40340.0,0.74515,0.268094,95.88,324555,0.859497,0.010523000000000001,40808,,USM B-cells,CVID
644,Immunodeficiency7828302,38829.0,0.7809020000000001,0.261112,96.07,307505,0.855511,0.017684000000000002,39574,,Naive B-cells,CVID
645,Immunodeficiency7828303,36255.0,0.755059,0.261917,95.71,327341,0.865959,0.053271000000000006,38321,,USM B-cells,CVID
646,Immunodeficiency7828304,35927.0,0.723785,0.248709,96.22,259747,0.8447620000000001,0.006499,36230,,Naive B-cells,CVID
647,Immunodeficiency7828305,37223.0,0.712755,0.256801,95.47,329329,0.871359,0.006539,37487,,USM B-cells,CVID
648,Immunodeficiency7828306,35149.0,0.781034,0.248596,96.05,285104,0.856183,0.034262,36437,,Naive B-cells,CVID
649,Immunodeficiency7828307,24928.0,0.824942,0.210389,96.32,211598,0.862074,0.047714,26199,,USM B-cells,CVID
650,Immunodeficiency7828308,7011.0,0.81038,0.08042,95.25,22328,0.62138,0.05244,8191,,Naive B-cells,CVID
651,Immunodeficiency7828309,42734.0,0.753358,0.281575,96.0,396332,0.877907,0.015413999999999999,43418,,USM B-cells,CVID
652,Immunodeficiency7828310,37048.0,0.749901,0.254565,95.57,311888,0.862597,0.023228,37960,,Naive B-cells,CVID
653,Immunodeficiency7828311,12798.0,0.78864,0.125255,96.05,105872,0.8446620000000001,0.102525,14287,,USM B-cells,CVID
654,Immunodeficiency7828312,33699.0,0.795682,0.24414,95.65,269132,0.857823,0.006164,33943,,Naive B-cells,CVID
655,Immunodeficiency7828313,14428.0,0.814068,0.142597,95.27,113540,0.8508110000000001,0.03762,15014,,USM B-cells,CVID
656,Immunodeficiency7828314,41468.0,0.802134,0.291035,95.65,331871,0.853867,0.031731999999999996,42881,,SM B-cells,CVID
657,Immunodeficiency7828315,27885.0,0.819795,0.218867,95.85,252713,0.8725629999999999,0.021131999999999998,28500,,USM B-cells,CONTROL
658,Immunodeficiency7828316,30249.0,0.820191,0.23609699999999997,95.73,216269,0.84101,0.009009,30591,,SM B-cells,CVID
659,Immunodeficiency7828317,15074.0,0.768955,0.138881,95.3,107306,0.833441,0.043588999999999996,15807,,USM B-cells,CONTROL
660,Immunodeficiency7828318,7218.0,0.788982,0.08141799999999999,95.2,16871,0.45573400000000003,0.08273,10716,,SM B-cells,CVID
661,Immunodeficiency7828319,35830.0,0.758778,0.26009899999999997,95.51,314388,0.865381,0.015550999999999999,36422,,USM B-cells,CONTROL
662,Immunodeficiency7828320,23378.0,0.804549,0.19797,96.11,149404,0.818599,0.038457,24427,,SM B-cells,CVID
663,Immunodeficiency7828321,19682.0,0.790018,0.1763,95.45,158311,0.8557899999999999,0.015161,20008,,USM B-cells,CONTROL
664,Immunodeficiency7828322,39352.0,0.793859,0.27327399999999996,95.96,303319,0.850369,0.023233,40347,,SM B-cells,CVID
665,Immunodeficiency7828323,25278.0,0.798683,0.21035700000000002,95.7,207154,0.859952,0.017682,25757,,USM B-cells,CONTROL
666,Immunodeficiency7828324,29172.0,0.812142,0.23037,95.39,238676,0.8532770000000001,0.044762,30579,,SM B-cells,CVID
667,Immunodeficiency7828325,5590.0,0.784528,0.06459,95.7,22570,0.690321,0.089577,6463,,USM B-cells,CONTROL
668,Immunodeficiency7828326,30002.0,0.8016439999999999,0.23656300000000002,95.63,223221,0.8413219999999999,0.046223,31524,,SM B-cells,CVID
669,Immunodeficiency7828327,27909.0,0.801034,0.215473,95.94,242059,0.862246,0.056746000000000005,29613,,USM B-cells,CONTROL
670,Immunodeficiency7828328,53778.0,0.734387,0.333489,95.62,466431,0.8642049999999999,0.022803999999999998,55075,,SM B-cells,CVID
671,Immunodeficiency7828329,32793.0,0.797438,0.24438200000000002,95.43,293471,0.87284,0.010262,33148,,USM B-cells,CONTROL
672,Immunodeficiency7828330,31946.0,0.7952359999999999,0.230723,95.7,283159,0.866764,0.042816,33397,,Naive B-cells,CVID
673,Immunodeficiency7828331,35717.0,0.791193,0.26803,95.63,373486,0.888217,0.032374,36918,,USM B-cells,CVID
674,Immunodeficiency7828332,40315.0,0.772104,0.268754,95.72,361543,0.8656020000000001,0.055501,42714,,Naive B-cells,CVID
